suburb,incident_date,injuries,offender,victim,
Lovely Banks,18/2/11,Unknown,Wirehaired Terrier/Pointer,Dog,
Corio,17/2/11,Unknown,Terrier,Person,
Drysdale,7/2/11,Puncture                                                                                                                                                                                                                             wounds,labrador,Person,
Whittington,28/3/11,Death,Staffordshire   American Bull Dog,Dog,
Corio,24/3/11,1 x Dead                                                                                                                                                                                                                                                1 x serious                                                                                                                                                                                                                        wounds,Staffordshire   ,Dogs,
Ocean Grove,22/3/11,1 x cat dead                                                                                                                                                                                                                                                               1 x person                                                                                                                                                                                                                                       with                                                                                                                                                                                                                                  puncture                                                                                                                                                                                                                            wounds,Greyhound,DogPerson,
Corio,19/3/11,Serious wounds,Unknown,Cat,
Whittington,11/3/11,Puncture wounds,Doberman/Rottweller,Dog,
Norlane,8/3/11,Unknown,Ridgeback/MastiffEnglish Bull Terrier,Dog,
Corio,4/3/11,Death,Malimute,Cat,
Newtown,9/3/11,Puncture wounds, Jack Russel,Dog,
Moolap,20/3/11,Bruising,Unknown,DogPerson,
Geelong,29/3/11,Unknown,Rottweiler,Dogs,
Belmont,8/3/11,Puncture wounds,Heelers,Person,
Curlewis,28/03/2011 30/03/2011,Unknown,Newfoundland,Person,
Newcomb,31/3/11,Dead,Pug & Boxer,Chickens and Duck,
Newcomb,1/4/11,Unknown,Staffy,Dog,
Waurn Ponds,5/4/11,,KelpieStaffy,Sheep,
Grovedale,29/4/11,Unknown,U/K,U/K,
Lovely Banks,3/5/11,,German Shepherds,Dog,
Whittington,9/5/11,,Cockerspaniel,Person,
Norlane,18/5/11,,Boxer,Dog,
Belmont,19/5/11,,Bull Terriers,Dog,
Corio,2/5/11,,Blue HeelerLabx,Person,
Highton,1/5/11,,Bull Mastiff,Dog,
Belmont,18/5/11,,,Person,
Manifold Heights,29/5/11,,Heeler/Cross,Person,
Moolap,28/5/11,,Maremma Sheepdog,Person,
Ocean Grove,10/5/11,,Labrador/BoxerPomeranian/Cross,Person,
Belmont,2/5/11,,,Person,
Belmont,20/5/11,,Labrador,Dog,
Corio,18/6/11,U/K,Bull Mastiff/Cross,Dog,
Belmont,21/6/11,U/K,Staffordshire,Dog,
Bell Park,12/6/11,U/K,Doberman Staffy,DogPerson,
Ocean Grove,28/6/11,U/K,Akita/Cross,Dog,
Clifton Springs,18/6/11,U/K,Staffordshire,Dog,
Ocean Grove,18/6/11,U/K,German S/H Pointer,Person,
Whittington,19/6/11,U/K,Bulldog,Dog,
Portarlington,18/7/11,,Unknown,Person,
Lara,25/7/11,,Rottweiler,Dog,
Moolap,7/12/11,,Akita,Dog,
Moolap,26/7/11,,Unknown,Sheep,
Newtown,14/7/11,,Staffy,Dog,
Lara,5/7/11,,Unknown,Dog,
Belmont,8/7/11,,Staffordshire/Bull Terrier,Dog,
Belmont,6/7/11,,Jack Russell,Dog,
Corio,15/8/11,,Staffordshire's,Dog,
Corio,21/5/15,,Bull Mastiff/Cross,Dog,
Portarlington,7/8/11,,,Dog,
South Geelong,8/8/11,,Staffy,Person,
Norlane,10/8/11,,,Person,
Wallington,18/8/11,,Border Collies,Sheep,
Norlane,2/8/11,,,Dog,
Hamlyn Heights,22/8/11,,Staffy,Dog,
North Geelong,24/8/11,,Jack Russel,Person,
Ocean Grove,1/9/11,,Poodle,Dog,
East Geelong,2/9/11,,Shar Pei,Person,
North Geelong,2/9/11,,Unknown,Dog,
Clifton Springs,,,Unknown,Person,
Bell Park,5/9/11,,Labrador,Dog,
Belmont,7/9/11,,2 x Pitbulls??,Dog,
Corio,12/9/11,,2 x Blue Heelers 1x Maltese,Person,
East Geelong,14/9/11,,Maltese/Cross,Person,
Barwon Heads,16/9/11,,3 x Springer Spaniel,Person,
Corio,21/9/11,,Staffordshire/ Boxer,Dog,
Lovely Banks,25/9/11,,Staffordshire cross,Person,
Belmont,2/7/11,,Kelpie/Cross,Person,
Anakie,21/5/15,,Greyhound,Horse,
Moolap,2/10/11,,unknown,Dog,
Whittington,3/10/11,,Maltese Shih-Tzu,Person,
Highton,3/10/11,,Kelpie/Cross,Person,
Balliang,10/10/11,,German Shepherd,Dog,
Norlane,16/10/11,,Blue Heeler,Person,
East Geelong,20/10/11,,Staffy Cross,Person,
Bell Post Hill,26/10/11,,German Shepherd,Person,
Belmont,28/10/11,,Rottweiler,Dog,
East Geelong,10/10/11,,Kelpie/Heeler,Cat,
Hamlyn Heights,29/10/11,,BoxerBoxer x,Dog,
North Geelong,20/10/11,,,Person,
Corio,23/10/11,,2 x one tan & 1 black Pitbull or Staffys,Person,
Grovedale,25/11/11,Nil,bull arab                                                                                                                                                                                                      bull arab x,Dog,
Grovedale,25/11/11,Death,Pitbull x Boxer,Cat,
Geelong West,15/11/11,Puncture                                                                                                                                                                                                                                  wounds,Huskys,Dog,
Rippleside,9/11/11,U/K,Staffy,Dog,
Whittington,3/11/11,Surgery,U/K,Dog,
Portarlington,11/11/11,U/K,Pitbulls,Dog,
St Leonards,4/11/11,Puncture                                                                                                                                                                                                                                  wounds,Staffy's,Person,
Newtown,20/11/11,,Australian Bull Dog,Dog,
Corio,16/11/11,,U/K,Dog,
Norlane,4/11/11,,U/K,Dog,
Corio,3/11/11,,Staffordshire/Mastiff,Person,
Lovely Banks,31/10/11,,U/K,Person,
Leopold,29/11/11,,Staffy,Dog,
Belmont,11/12/11,Scratches,German Shepherd,18 month old baby,
Belmont,17/12/11,Death,Staffy/Bulldog?,Dog,
Ocean Grove,20/12/11,Both dead,Kelpie/Husky,2 x Chickens,
Norlane,20/12/11,Dead,Staffy x bull terriers,Dog,
Belmont,22/12/11,Punture                                                                                                                                                                                                                                     wounds/No injuries?,German                                                                                                                                                                                                                              Shepherd,Dog,
Highton,22/12/11,Death,Staffy ,Cat,
Geelong West,27/12/11,Lacerations,Staffy ,Dog,
Hamlyn Heights,29/12/11,Person & Dog                                                                                                                                                                                                                                      - Minor,1 x Staffy                                                                                                                                                                                                                                                  1 x Boxer pup,Person                                                                                                                                                                                                                                     Dog,
Indented Head,1/1/10,,u/k,Person,
Whittington,6/1/10,,Staffordshire/CrossKelpie/Cross,Dog,
Leopold,8/1/10,,Staffy,Dog,
Ocean Grove,11/1/10,,Malamut,Lamb,
Corio,16/9/46,,Pit Bull x,Cat,
Highton,14/1/10,,Husky,Rabbits,
Clifton Springs,15/1/10,,Pitbull X / Jack Russell,Dog,
Lara,20/1/10,,Cattledog,Person,
Grovedale,Not Advised,,Staffy X / Pitbull,Dog,
Newtown,20/1/10,,Rottweiler,Dog,
Belmont,22/1/10,,Staffy,Dog,
Newcomb,25/1/10,,Staffy,Person,
Corio,29/1/10,,Jack Russell,Person,
St Leonards,23/1/10,,Border Collie/Blue Heeler,Person,
St Leonards,23/1/10,,,Person,
Little River,1/2/10,,Mastiff,Person ,
Highton,31/1/10,,Heeler,Person ,
Corio,5/2/10,,Boxer / Pitbull,Dog,
Corio,5/2/10,,Staffy / Also unknown breed,Person ,
Norlane,11/2/10,,Bull Mastiff,Cat,
Geelong West,8/2/09,,Husky,Dog,
Grovedale,12/2/02,,Unknown,Person ,
Whittington,14/2/09,,Terrier,Dog,
Belmont,2/2/10,,Rotti X,Dog,
Lara,15/2/10,,Poodle X,Person ,
Newtown,16/2/10,,Staffy x,Dog,
Avalon,21/2/10,,Unknown,Livestock,
Grovedale,22/2/10,,Pitbull,Dog,
Whittington,22/2/10,,3 x German Shepherds,Dog,
Norlane,28/2/10,,Kelpie,Person ,
Corio,28/2/10,,Staff / Pit bulls,Dog,
Clifton Springs,16/2/10,,Unknown,Person ,
Norlane,2/3/10,,Alsatian,Rabbit,
St Albans Park,25/2/10,,Staffy,Person ,
Herne Hill,2/3/10,,Jack Russell,Dog,
Ocean Grove,7/3/10,,Staghound X,Sheep,
Norlane,12/3/10,,Pitbulls,Dog,
Ocean Grove,6/3/10,,u/k,Chickens,
Norlane,18/3/03,,Bull Terrier,Dog,
Corio,24/3/10,,Lab,Dog,
St Albans Park,26/3/10,,Staffy and unknown breed,Livestock,
Clifton Springs,20/3/10,,Heeler x Shepherd,Dog,
Norlane,1/3/10,,Unknown,Person,
Portarlington,1/4/10,,Unknown,Dogs,
East Geelong,3/4/10,,Maltese,Person,
Whittington,6/4/10,,Bull Terrier,Dogs,
Belmont,5/4/10,,Bull Mastiff,Dog / Person,
Connewarre,6/4/10,,Pit Bull x,Dog,
Ocean Grove,7/4/10,,German Shepherd,Person,
Ocean Grove,8/4/10,,Akita,Cat,
Norlane,10/4/10,,Staffy's,Dog,
,12/4/10,,Cavalier King Charles Spaniel,Person,
Lara,12/4/10,,Rotti Lab Staffy,Livestock,
Belmont,16/4/10,,Husky  Bull Terrier,Chicken,
Herne Hill,16/4/10,,Staffordshire,Dog,
Whittington,16/4/10,,Bull Terrier,Person,
Corio,19/4/10,,Staffordshire,Cat,
Hamlyn Heights,19/4/10,,Boxers,Dog,
Bremlea Beach,19/4/10,,Bull Terrier,Dog,
Norlane,21/4/10,,Great DaneAmerican Staffordshire,Cat,
Drysdale,27/4/10,,Unknown,Livestock,
Manifold Heights,30/4/10,,Boxer X,Dog,
Belmont,u/k,,Jack Russell/Cross,Dog,
Breamlea,18/4/10,,Bulldog X,Dog,
Norlane,24/4/10,,Unknown,Cat,
Whittington,1/5/10,,Blue Heeler,Person / Dog,
Wallington,2/5/10,,Border Collie,Person,
Corio,1/5/10,,Blue Heeler,Dog,
Leopold,4/5/10,,Jack Russell x,Person,
Grovedale,7/5/10,,Blue Heeler,Person,
St Albans Park,13/5/10,,Staff/Bull Terrier,Dog,
Belmont,14/5/10,,Pitt Bull x,Dog,
Corio,19/5/10,,Kelpie,Dog,
North Geelong,21/5/10,,2 Bulldogs,Person,
Corio,22/5/10,,Unknown,Dog,
Barwon Heads,22/5/10,,2 Staffies,Dog,
Lara,24/5/10,,1 Staffy & 1 Jack Russell,Dog,
Belmont,24/5/10,,1 Mastiff & 1 Boxer,Dog,
Norlane,24/5/10,,Rottweiler,Person,
Geelong West,12/5/10,,Unknown,Rabbits,
Belmont,15/5/10,,Husky,Rabbits,
Manifold Heights,30/4/10,,Boxer x,Dog,
Corio,13/5/10,,Staffy x,Cat,
Norlane,9/5/10,,German Shepherd,Person,
St Albans Park,13/5/10,,Staffordshire/Bull Terrier,Dog,
Geelong West,19/5/10,,2 Staffies,Person,
Newcomb,4/6/10,,Staffy x,Cat,
Batesford,8/6/10,,2 Labradors,2 Ducks,
Corio,9/6/10,,2 Staffys,Dog,
Bell Park,9/6/10,,Husky,Cat,
Lara,9/6/10,,Blue Heeler,Person,
Leopold,13/6/10,,Pitt Bull Terrier,Dog,
Belmont,13/6/10,,Bull Terrier,Dog,
Whittington,20/6/10,,2 Pitt Bulls,Dog,
Lara,20/6/10,,Unknown,Sheep,
Herne Hill,22/6/10,,Unknown,Dog,
Manifold Heights,23/6/10,,Mastiff x,Dog,
Newcomb,28/6/10,,Staffy  ,Person,
Newcomb,28/6/10,,Unknown,Person,
Grovedale,11/6/10,,Maltese/Shihtzu,Person,
Manifold Heights,23/5/10,,Unknown,Dog,
Marshall,26/6/10,,Staffys,Sheep,
Whittington,9/7/10,,Pit Bull ,Person,
Portarlington,5/7/10,,Pit Bull ,Sheep,
Ocean Grove,12/7/10,,Siberian Husky,Chickens,
Waurn Ponds,18/7/10,,Chow Chow X,Sheep,
Marshall,5/7/10,,Kelpie,Person,
Lara,8/7/10,,Jack Russells,Lamb ,
Anakie,12/7/10,,Unknown,Wildlife / Horse,
Norlane,13/7/10,,Kelpie,Dog,
Corio,23/7/10,,Unknown,Child,
Ocean Grove,23/7/10,,Unknown,Dog,
Highton,28/7/10,,Unknown,Dog,
North Shore,2/8/10,,Mastiff X,Dog,
Belmont,4/8/10,,Unknown,Chickens,
Manifold Heights,1/8/10,,Unknown,Guinea Pigs,
Whittington,17/8/10,,Pitt Bull types,Dog,
Point Lonsdale,,,Unknown,Guinea Pigs,
Waurn Ponds,23/8/10,,Maltese/Shih Tzu,Person,
Newcomb,25/8/10,,Great Danes,Dog,
Belmont,25/8/10,,Staffy,Dogs,
Indented Heads,28/8/10,,Pitt Bull X,Dog,
Whittington,16/8/10,,Pitt Bull types,Dog,
Clifton Springs,,,Heeler/Cross,Dog,
Anakie,1/9/10,,Unknown,Sheep/Alpacas,
Highton,2/9/10,,2 Mastiff X,Cat,
Little River,3/9/10,,No dogs registered to the property,Dogs,
Newcomb,6/9/10,,2 German Shepherds,Person & Dog,
Belmont,10/9/10,,Great Dane/Cross,Dog ,
Belmont,7/9/10,,Great Dane/Cross,Person,
Geelong,10/9/10,,German Shepherd,Person  ,
Geelong,20/9/10,,Unknown,Dog,
Ocean Grove,23/9/10,,Pitt Bull Type,Dog,
Corio,23/9/10,,Beagle,Dog,
Moolap,28/9/10,,Staffy & Pitt Bull type,Dog,
Highton,29/9/10,,No dogs registered to the property,Dog,
Waurn Ponds,18/9/10,,Golden Retriever/Cross,Person,
Corio,1/10/10,,Terrier,Person,
Norlane,2/10/10,,Kelpie,Pup,
Sth Geelong,3/10/10,,Maltese,Person,
Ocean Grove,5/10/10,,Unknown,Person,
Corio,3/10/10,,Rotti,Child,
Bell Post Hill,6/10/10,,Staffy,Dog,
Whittington,6/10/10,,Alsation,Cat,
Geelong West,7/10/10,,Staffies,Dog,
North Geelong,8/10/10,,Jack Russell,Person,
Newtown,08/102010,,Labrador,Rabbit,
Wandana Heights,10/10/10,,Unknown,Chickens,
Ocean Grove,15/10/10,,2 Rotti's and 1 Bull Terrier,Chickens,
Wandana Heights,15/10/10,,2 Rott's ,Dog,
Norlane,24/10/10,,Unknown,Cat,
Grovedale,24/10/10,,Unknown,Cat,
Leopold,26/10/10,,Unknown,Horses,
Corio,26/10/10,,Unknown,Child,
Belmont,27/10/10,,Maltese type,Person,
Leopold,29/10/10,,Mareema,Child,
Norlane,30/10/10,,Blue Heeler,Dog and Owner,
Lara,5/11/10,,Alsation,Child,
Hamlyn Heights,5/11/10,,Foxy,Person,
Geelong West,6/11/10,,Unknown,Rabbits,
Lara,7/11/10,,Heeler,Person,
Lara,8/11/10,,Alsation,Dog and Child,
Hamlyn Heights,8/11/10,,Unknown,Person,
Norlane,12/11/10,,Unknown,Unknown,
Herne Hill,15/11/10,,Rotti X Ridgeback,Dog  ,
Manifold Heights,16/11/10,,Labrador,Dog,
Whittington,11/11/10,,Staffies,Cat,
Drysdale,12/11/10,,French Poodles,Dog,
Barwon Heads,25/11/10,,Unknown,Chickens,
Corio,29/11/10,,Siberian Husky,Cat,
Wallington,30/11/10,,Siberian Husky,Chickens,
Little River,28/11/10,,German Shepherd& Staffy,Sheep,
Grovedale,30/11/10,,Border Collie,Child,
Norlane,7/12/10,,Staffy,Dog,
Moolap,8/12/10,,Unknown,Lambs,
Norlane,6/12/10,,Unknown,Dog,
Corio,14/12/10,,Bull Arab,Person,
Fyansford,17/12/10,,Unknown,Person,
Unknown,20/12/10,,Staffy X,Dog,
Grovedale,20/12/10,,English Staffy,Dog,
Unknown,21/12/10,,Terrier,Person,
Unknown,21/12/10,,Unknown,Unknown,
Lara,25/12/10,,Unknown,Alpaca,
Moolap,27/12/10,,Staffy,Sheep,
Corio,29/12/10,,Unknown,Person,
Ceres,31/12/10,,Bitsa,Person,
Grovedale,6/12/11,,JAC,Person,
