suburb,incident_date,injuries,offender,victim,
Lara,26/6/14,Bite Marks,German Shephard,Dog,
Belmont,,Bite Marks,Jac Russel,Dog,
Grovedale,10/7/14,Bite ,Boxers,Boy,
St Leonards,3/7/14,Bite ,"size of ridgeback, boxer face",Girl,
Leopold,14/7/14,Bite ,"notes updated by officer but no description of offending dog, no ID # and no MC",Person,
Wallington,1/7/14,Major Bruising,German Shepherd,Dog,
Leopold,2/7/15,loss of fur,"officer spoken to owner but dog details not updated on RFS, not linked to animal module",Cat,
Corio,1/7/15,"bite marks, loss of teeth",notes updated by officer but no animal link to this RFS,Cat,
Belmont,29/7/14,Puncture Wounds,Tibetan,Dog,
Highton,16/7/14,Puncture Wounds,Staffys,Dog,
Corio,19/7/14,Death,Dog seized and taken to GAWS but no animal link to this RFS,Dog,
Corio,26/7/14,Death,Staffys,Dog,
Grovedale,17/7/14,One of the dogs latched onto his dog and shook it around. It doesnt appear to have any injury,KelpieLab,Dog,
Norlane,14/7/14,,Ridgeback,Dog,
North Shore,16/7/14,Bite ,Jack Russell,Person,
Newcomb,15/6/14,No injuries,notes says dog impounded but no animal link to this RFS,Dog,
Highton,16//07,Bite/laceratons,See RFS 946389,Dog,
Grovedale,2/8/14,Bite ,German Shepherd,Person,
Norlane,27/8/14,"killed cat, hand injury to person",Rednose Pitbull,Cat/Person,
St Albans Park,28/8/14,none noted,Staffy X,Dog,
Hamlyn Heights,26/8/14,bite to hand,Husky,Person,
Moolap,25/8/14,small bite to hand and leg,Officers attended site and spoke to dog owner but not details or animal link to this RFS,Dog/Person,
Waurn Ponds,20/8/14,Killed rabbit,Ridgeback,Rabbit,
Lara,16/8/14,"not specified, but was taken to the vet and now on meds",German Shepherd,Dog,
Lara,15/8/14,Killed chickens,Boxer,Chickens,
Grovedale,2/8/14,Bite  ?,German Shepherd,Person,
Newtown,28/9/14,Bite on leg,"No dog registered at this address at the time of incident, two lapsed rego only??",Person,
Wallington,26/9/14,,"Officer took statement from owner but have not added offending dog's detail, no animal linked to this RFS",Dog,
Highton,24/9/14,Ears,"no dogs currently registered at 2/2 Gumtree Ct at the time of incident,there were 2 lapsed rego",Dog,
Whittington,23/9/14,Death,"according to RFS notes dog owner interviewed and dog signed over to Council, no details of offending dog",Cat,
BarwonHeads,22/9/14,Death,Ridgeback/Bull Mastiff,Chickens,
Grovedale,16/9/14,Bite to leg,Cattle dog,Person,
Grovedale,7/9/14,??,"Staffy, Kelpie",Cat,
Lara,18/9/14,Death,RFS not linked to animal,Lambs,
Lara,2/9/14,Death,notes says  Impounding Officer to issue infringement for DAL. No animal linked to this RFS,Cat,
Norlane,30/9/14,Bite on leg,Whippet X,Person,
Lara,29/9/14,no specified,Jack Russell,Dog,
Corio,22/9/14,Death,RFS notes not updated with offending dog's details,Guinea Pigs,
Lara,11/9/14,Death ,notes said infringement issued but no animal linked to this RFS,Chickens,
Geelong West,27/9/14,no injuries,??,Person,
Portarlington,28/9/14,Bite on hand,German Shepherd,Person ,
Norlane,16/10/14,bite on arm,Spitz,Child,
Moolap,14/10/14,Bite ,"Staffordshire/Cross, Rhodesian Ridgeback",Dog,
St Albans Park,14/10/14,Death,Husky,Chickens,
Norlane,12/10/14,Bite on forehead,Shepherd X,Person,
Leopold,9/10/14,Death,Husky,Dog ,
Pt Henry,6/10/14,Scratched,"Great Dane, Boxer",Car,
Herne Hill,21/10/14,death,"Anon Call, no dog sighted",Chickens,
Norlane,2/10/14,Bite,,"Person, dog",
Norlane,2/10/14,??,"Anon Call, no dog sighted",Dog,
Lara,17/10/14,Death,Labrador/Retriever,Sheep,
Belmont,9/10/14,,dog was apparently given away 2 days after incident,Cat,
Clifton Springs,8/11/14,Bite on arm,Bull Mastiff?,Person,
